state,district_code,district_name,population_total,population_rural,population_urban,decadal_growth_total,decadal_growth_rural,decadal_growth_urban,density_2011,sex_ratio_total_2011,sex_ratio_rural_2011,sex_ratio_urban_2011,child_sex_ratio_total_2011,child_sex_ratio_rural_2011,child_sex_ratio_urban_2011,sc_percentage_total_2011,st_percentage_total_2011,literacy_rate_total,literacy_rate_rural,literacy_rate_urban,wpr_total,wpr_rural,wpr_urban,cultivators_percentage,agricultural_labourers_percentage,household_industry_percentage,other_workers_percentage
Karnataka,556,Bagalkot,97203,80820,16383,21.23,14.96,65.8,6638,,,,945.0,935.0,931.0,16.5,5.99,57.3,51.23,71.75,43.57,47.49,33.94,27.13,37.91,7.51,27.45
Karnataka,572,Bangalore,190239,28415,161824,121.16,57.21,138.18,2650,,,,953.0,944.0,943.0,24.91,2.33,82.96,70.24,84.65,39.27,44.45,38.57,3.34,2.61,2.7,91.35
Karnataka,583,Bangalore Rural,52903,44412,8491,21.14,14.79,70.5,4165,,,,944.0,950.0,956.0,24.84,5.87,69.59,67.23,77.71,46.56,49.01,38.16,37.33,21.4,5.29,35.97
Karnataka,555,Belgaum,297198,253876,43322,22.08,19.38,40.74,23419,,,,923.0,934.0,929.0,11.5,6.64,64.21,58.85,80.66,44.56,48.06,33.47,37.62,31.29,3.5,27.59
Karnataka,565,Bellary,451406,334131,117275,23.8,18.77,40.77,5784,,,,953.0,960.0,966.0,20.5,21.31,57.4,50.29,70.24,45.42,50.82,35.34,27.28,39.25,2.8,30.67
Karnataka,558,Bidar,235822,214759,21063,29.42,26.23,74.22,7327,,,,948.0,942.0,923.0,22.28,14.7,60.94,56.71,75.14,37.11,40.22,26.69,24.89,37.49,2.51,35.1
Karnataka,557,Bijapur,39314,31644,7670,30.82,17.78,140.82,9158,,,,932.0,931.0,924.0,19.8,1.9,57.01,51.97,74.59,39.75,42.67,29.35,30.22,39.92,2.94,26.91
Karnataka,578,Chamarajanagar,120219,96434,23785,13.3,13.59,12.12,4945,,,,965.0,953.0,951.0,25.4,10.39,50.87,47.24,70.88,46.44,48.1,37.27,27.73,43.04,4.37,24.86
Karnataka,582,Chikkaballapura,156487,139201,17286,13.74,10.52,48.66,6040,,,,953.0,953.0,941.0,26.65,13.57,59.24,55.2,76.16,52.28,55.91,37.02,40.56,29.47,2.9,27.07
Karnataka,570,Chikmagalur,44970,40142,4828,9.63,7.87,26.82,5200,,,,960.0,969.0,963.0,22.11,4.05,72.2,69.59,82.87,45.29,47.58,35.85,28.64,21.1,2.33,47.93
Karnataka,566,Chitradurga,302554,266526,36028,13.64,12.88,19.6,13674,,,,947.0,947.0,948.0,23.67,18.99,64.45,60.72,81.14,47.55,50.84,32.66,38.42,33.45,3.34,24.79
Karnataka,575,Dakshina Kannada,82268,65844,16424,30.72,20.95,93.31,5665,,,,947.0,947.0,942.0,8.48,4.66,83.35,79.72,89.1,49.87,54.11,43.08,5.25,4.5,21.16,69.09
Karnataka,567,Davanagere,233112,191754,41358,11.16,9.09,21.9,8135,,,,950.0,948.0,952.0,22.08,14.08,67.43,62.75,78.08,43.76,47.85,34.37,30.76,34.54,3.86,30.85
Karnataka,562,Dharwad,87548,50089,37459,24.28,13.32,42.75,4355,,,,942.0,944.0,954.0,7.57,6.12,71.61,60.77,80.31,42.67,54.3,33.14,25.8,27.25,2.88,44.07
Karnataka,561,Gadag,61654,50637,11017,13.31,10.43,28.79,2807,,,,950.0,947.0,950.0,16.11,7.28,66.11,61.55,74.4,47.11,52.17,37.8,30.44,39.23,3.65,26.69
Karnataka,579,Gulbarga,65259,50074,15185,38.45,28.08,88.92,12444,,,,939.0,943.0,940.0,26.15,2.63,54.34,46.14,71.64,41.64,47.9,28.17,24.53,39.65,2.26,33.56
Karnataka,574,Hassan,32329,27896,4433,22.22,15.26,97.11,8457,,,,964.0,973.0,957.0,19.44,1.71,68.63,65.23,84.43,50.23,53.83,33.46,55.03,14.65,1.62,28.71
Karnataka,564,Haveri,141380,126249,15131,11.18,9.0,33.47,5430,,,,959.0,946.0,921.0,13.36,10.16,67.79,65.91,74.98,46.33,49.24,35.23,30.54,43.69,4.15,21.62
Karnataka,576,Kodagu,58054,56298,1756,25.89,25.4,44.05,1974,,,,975.0,978.0,974.0,12.53,9.49,77.99,76.1,89.74,48.56,50.23,38.06,7.9,4.31,0.95,86.84
Karnataka,581,Kolar,78875,72143,6732,15.77,12.51,67.75,8142,,,,971.0,962.0,979.0,29.38,6.53,65.84,58.88,82.58,45.74,51.41,31.94,33.04,25.37,3.58,38.01
Karnataka,560,Koppal,164271,152563,11708,18.53,18.52,18.63,8977,,,,952.0,958.0,973.0,15.93,12.9,54.1,51.01,69.14,46.36,48.98,33.19,30.37,42.38,3.3,23.95
Karnataka,573,Mandya,22402,17361,5041,30.3,28.59,36.54,9996,,,,929.0,939.0,944.0,14.02,0.91,61.05,57.74,78.39,47.65,49.94,35.66,48.93,24.52,2.09,24.45
Karnataka,577,Mysore,334547,257081,77466,23.29,14.64,64.48,11481,,,,967.0,961.0,959.0,21.02,13.52,63.48,51.84,82.8,42.04,46.96,33.72,35.84,22.55,1.95,39.66
Karnataka,559,Raichur,367071,334023,33048,21.13,20.19,31.52,9979,,,,969.0,950.0,949.0,19.89,22.25,48.81,42.49,66.86,43.88,47.99,31.7,28.21,44.83,1.98,24.99
Karnataka,584,Ramanagara,22946,19163,3783,28.3,22.5,68.73,4656,,,,947.0,962.0,964.0,19.63,1.92,60.71,57.15,74.42,48.16,50.64,38.77,44.57,19.62,4.33,31.48
Karnataka,568,Shimoga,65412,49963,15449,16.81,14.62,24.54,8798,,,,957.0,960.0,966.0,18.63,4.07,74.52,69.61,83.6,43.51,48.34,34.45,30.47,31.36,2.54,35.63
Karnataka,571,Tumkur,209559,180024,29535,8.12,5.94,23.63,15030,,,,950.0,959.0,959.0,19.82,8.18,67.01,63.39,81.8,50.95,54.29,37.29,45.74,23.84,4.63,25.8
Karnataka,569,Udupi,52897,41596,11301,27.12,15.99,96.5,3016,,,,957.0,958.0,952.0,6.23,3.96,81.25,79.35,89.47,43.89,45.11,38.55,19.92,17.98,12.66,49.44
Karnataka,563,Uttara Kannada,34239,27949,6290,43.98,47.22,31.15,12611,,,,947.0,955.0,950.0,7.32,1.97,76.6,72.65,86.27,42.94,46.75,33.45,24.66,14.55,2.24,58.54
Karnataka,580,Yadgir,146849,128724,18125,37.17,34.8,56.67,5791,,,,955.0,951.0,937.0,22.82,12.04,39.9,34.88,63.59,46.48,49.14,33.53,32.19,40.61,3.14,24.06
Madhya Pradesh,465,Alirajpur,209754,170812,38942,31.1,27.1,77.0,10078,1001.0,1011.0,972.0,,,,,,,,,55.2,56.9,34.0,77.3,11.3,1.3,
Madhya Pradesh,461,Anuppur,436595,290893,145702,60.2,53.9,75.1,13707,988.0,976.0,917.0,,,,,,,,,43.0,49.8,26.4,46.6,27.9,2.2,
Madhya Pradesh,459,Ashoknagar,469109,366314,102795,62.3,59.5,75.4,8593,875.0,904.0,911.0,,,,,,,,,38.3,40.2,29.3,46.3,32.2,2.9,
Madhya Pradesh,457,Balaghat,1147623,960218,187405,68.7,66.7,82.1,38614,1030.0,1021.0,1000.0,,,,,,,,,50.3,52.9,33.0,39.5,39.1,3.8,
Madhya Pradesh,441,Barwani,549926,413152,136774,41.7,35.6,74.5,8955,977.0,982.0,954.0,,,,,,,,,48.4,50.8,33.9,56.4,27.8,1.6,
Madhya Pradesh,447,Betul,939769,700098,239671,66.4,62.0,84.5,35707,977.0,971.0,946.0,,,,,,,,,44.2,48.0,27.2,41.8,37.7,2.1,
Madhya Pradesh,420,Bhind,1094917,800035,294882,70.5,69.1,75.0,5560,825.0,837.0,865.0,,,,,,,,,36.8,40.0,26.3,53.6,18.6,1.6,
Madhya Pradesh,444,Bhopal,1660690,254810,1405880,74.6,52.7,79.6,7155,885.0,918.0,921.0,,,,,,,,,32.1,42.2,29.6,11.8,11.1,1.6,
Madhya Pradesh,467,Burhanpur,408679,229184,179495,59.9,50.5,74.3,2952,945.0,951.0,949.0,,,,,,,,,42.1,49.3,30.5,26.9,41.2,2.2,
Madhya Pradesh,425,Chhatarpur,943033,671558,271475,53.3,47.4,73.2,19193,868.0,883.0,892.0,,,,,,,,,40.2,42.9,30.4,54.8,20.5,3.5,
Madhya Pradesh,455,Chhindwara,1294198,907838,386360,65.8,60.5,81.3,29421,961.0,964.0,956.0,,,,,,,,,42.2,46.2,29.6,39.0,35.3,1.8,
Madhya Pradesh,428,Damoh,747715,564140,183575,61.8,57.1,80.9,18711,901.0,910.0,907.0,,,,,,,,,44.9,47.4,34.2,28.0,29.7,13.2,
Madhya Pradesh,422,Datia,491445,365567,125878,71.3,69.5,78.3,6596,852.0,873.0,892.0,,,,,,,,,50.3,54.7,33.5,62.9,16.0,1.7,
Madhya Pradesh,437,Dewas,925369,604294,321075,60.9,54.6,77.1,27502,934.0,942.0,934.0,,,,,,,,,44.4,49.4,31.0,41.6,35.2,1.8,
Madhya Pradesh,438,Dhar,1077338,796473,280865,52.5,47.8,75.0,18716,971.0,964.0,899.0,,,,,,,,,46.6,49.2,33.8,52.1,29.5,1.5,
Madhya Pradesh,453,Dindori,378714,354842,23872,54.2,52.8,81.0,17195,993.0,1002.0,956.0,,,,,,,,,57.0,58.2,31.9,60.9,29.3,2.2,
Madhya Pradesh,458,Guna,653980,447170,206810,57.6,52.0,74.4,15665,888.0,912.0,915.0,,,,,,,,,42.8,47.1,29.6,51.9,25.4,2.2,
Madhya Pradesh,421,Gwalior,1357210,419361,937849,69.4,53.4,79.4,8975,833.0,864.0,871.0,,,,,,,,,32.5,38.3,28.7,26.8,13.5,2.0,
Madhya Pradesh,448,Harda,352550,261229,91321,66.5,61.7,83.4,9108,923.0,935.0,940.0,,,,,,,,,44.9,49.4,28.3,39.8,40.5,2.0,
Madhya Pradesh,449,Hoshangabad,810644,510211,300433,70.0,63.0,84.8,13420,897.0,914.0,915.0,,,,,,,,,35.7,39.0,28.3,28.7,34.7,2.3,
Madhya Pradesh,439,Indore,2309130,499137,1809993,75.2,57.5,82.3,5970,937.0,928.0,922.0,,,,,,,,,36.2,45.6,32.2,16.4,14.9,3.3,
Madhya Pradesh,451,Jabalpur,1756468,637824,1118644,75.7,63.8,84.2,19037,926.0,929.0,919.0,,,,,,,,,37.2,45.1,31.2,15.0,25.4,6.5,
Madhya Pradesh,464,Jhabua,352081,286231,65850,41.4,36.4,82.5,15006,986.0,990.0,934.0,,,,,,,,,50.4,52.4,31.9,69.8,16.2,1.0,
Madhya Pradesh,450,Katni,790773,592952,197821,63.6,58.5,81.5,26460,950.0,952.0,926.0,,,,,,,,,41.7,44.9,29.9,31.1,32.0,6.7,
Madhya Pradesh,466,Khandwa (East Nimar),731615,540989,190626,62.8,58.1,80.5,10874,932.0,943.0,949.0,,,,,,,,,45.0,49.1,28.9,41.1,38.2,1.7,
Madhya Pradesh,440,Khargone (West Nimar),986234,772789,213445,63.0,60.1,78.1,11002,954.0,965.0,944.0,,,,,,,,,46.1,48.8,31.3,46.7,35.0,1.8,
Madhya Pradesh,454,Mandla,604962,503725,101237,59.6,56.5,85.2,23321,1002.0,1008.0,969.0,,,,,,,,,51.9,54.3,30.9,44.0,41.3,1.9,
Madhya Pradesh,433,Mandsaur,834591,629734,204857,70.3,67.8,81.1,11595,960.0,963.0,957.0,,,,,,,,,48.2,51.3,34.6,51.2,28.7,1.6,
Madhya Pradesh,419,Morena,1179685,865686,313999,64.7,61.6,75.6,12741,817.0,840.0,858.0,,,,,,,,,37.1,39.9,26.6,56.8,11.5,1.4,
Madhya Pradesh,452,Narsimhapur,718785,562087,156698,77.7,76.4,84.4,10003,910.0,920.0,918.0,,,,,,,,,42.1,44.3,30.8,33.7,43.0,3.5,
Madhya Pradesh,432,Neemuch,508834,330646,178188,66.2,61.1,78.7,4573,959.0,954.0,921.0,,,,,,,,,48.0,53.6,33.5,50.7,24.5,1.5,
Madhya Pradesh,426,Panna,552559,465466,87093,61.4,59.1,76.4,18165,903.0,905.0,899.0,,,,,,,,,43.6,45.6,29.8,47.7,31.1,3.2,
Madhya Pradesh,446,Raisen,820220,607949,212271,72.2,70.8,77.9,17728,884.0,901.0,892.0,,,,,,,,,36.6,38.1,29.9,34.1,37.7,3.1,
Madhya Pradesh,442,Rajgarh,804245,620313,183932,53.7,49.7,72.3,25415,936.0,956.0,950.0,,,,,,,,,49.9,53.7,31.9,54.2,27.6,2.2,
Madhya Pradesh,434,Ratlam,825880,507104,318776,67.2,60.8,80.9,16403,964.0,971.0,962.0,,,,,,,,,45.1,51.3,30.7,46.3,28.3,2.1,
Madhya Pradesh,430,Rewa,1441757,1156917,284840,62.0,59.2,76.0,36148,954.0,931.0,910.0,,,,,,,,,43.7,46.2,31.2,43.3,35.0,4.6,
Madhya Pradesh,427,Sagar,1545719,1011982,533737,67.7,61.3,82.5,19680,880.0,893.0,905.0,,,,,,,,,41.5,44.5,34.3,26.6,25.8,14.1,
Madhya Pradesh,429,Satna,1371781,1029244,342537,64.6,61.0,77.9,29114,937.0,926.0,901.0,,,,,,,,,39.9,41.9,32.0,34.1,31.8,6.1,
Madhya Pradesh,445,Sehore,780362,603846,176516,63.1,59.8,77.4,28777,911.0,918.0,924.0,,,,,,,,,41.8,44.9,28.0,45.0,36.1,1.9,
Madhya Pradesh,456,Seoni,864194,734368,129826,65.6,63.2,85.8,31249,987.0,982.0,961.0,,,,,,,,,48.8,51.0,29.5,41.3,41.8,1.8,
Madhya Pradesh,460,Shahdol,604194,442701,161493,57.6,51.1,78.9,25602,971.0,974.0,936.0,,,,,,,,,43.5,48.1,27.5,33.7,40.2,3.1,
Madhya Pradesh,436,Shajapur,894612,690374,204238,70.9,69.1,78.2,19457,928.0,938.0,941.0,,,,,,,,,48.8,52.2,33.9,49.1,32.0,1.7,
Madhya Pradesh,418,Sheopur,328025,261053,66972,46.4,42.6,66.1,7816,898.0,901.0,903.0,,,,,,,,,41.0,43.3,28.8,53.6,27.4,1.1,
Madhya Pradesh,423,Shivpuri,900846,703640,197206,58.8,55.2,75.2,14480,855.0,877.0,891.0,,,,,,,,,45.1,48.6,27.9,64.5,17.8,1.5,
Madhya Pradesh,462,Sidhi,600785,537755,63030,55.3,53.5,75.7,20897,950.0,957.0,919.0,,,,,,,,,40.9,41.8,30.0,45.7,37.3,3.7,
Madhya Pradesh,463,Singrauli,585054,437064,147990,49.2,43.1,71.0,11194,943.0,920.0,885.0,,,,,,,,,41.9,45.3,28.7,55.6,25.6,1.8,
Madhya Pradesh,424,Tikamgarh,747940,586993,160947,55.7,52.8,69.0,14956,883.0,901.0,909.0,,,,,,,,,47.1,49.5,35.9,64.4,16.9,2.8,
Madhya Pradesh,435,Ujjain,1240990,671383,569607,70.9,64.2,80.9,20762,946.0,955.0,948.0,,,,,,,,,44.1,52.4,31.2,42.2,25.2,2.2,
Madhya Pradesh,431,Umaria,356672,279642,77030,59.1,56.5,72.3,20255,952.0,950.0,919.0,,,,,,,,,42.2,44.5,30.1,39.8,36.9,3.2,
Madhya Pradesh,443,Vidisha,862918,624193,238725,61.8,57.3,77.6,19060,872.0,896.0,912.0,,,,,,,,,37.2,39.5,28.8,37.4,36.9,2.0,
Odisha,384,Anugul,179603,162048,17555,35.0,35.4,32.0,200,,,,942.0,889.0,837.0,17.7,12.2,68.8,66.1,85.1,39.8,41.1,31.9,30.3,28.0,5.9,35.8
Odisha,393,Balangir,347164,334672,12492,25.9,25.1,50.3,251,,,,971.0,955.0,905.0,17.1,22.6,55.7,52.7,78.0,41.9,43.6,28.6,31.0,40.1,4.3,24.6
Odisha,377,Baleshwar,275678,255098,20580,20.7,21.9,7.0,610,,,,943.0,943.0,947.0,19.8,11.6,70.6,69.5,78.8,31.9,32.1,29.7,34.1,33.0,3.6,29.3
Odisha,370,Bargarh,281135,270996,10139,7.8,6.7,50.3,254,,,,958.0,957.0,938.0,19.5,20.4,64.0,62.7,79.2,44.1,45.3,29.5,33.9,41.5,6.9,17.7
Odisha,391,Baudh,55364,54867,497,18.9,18.8,31.5,142,,,,968.0,978.0,961.0,21.9,13.0,57.7,56.4,82.0,45.7,46.5,31.6,38.5,39.5,6.7,15.3
Odisha,378,Bhadrak,30428,24347,6081,21.0,7.5,143.0,601,,,,941.0,942.0,938.0,22.8,1.9,73.9,74.3,70.4,28.9,29.1,27.2,39.1,28.5,2.4,30.0
Odisha,381,Cuttack,93745,81658,12087,12.1,7.6,57.5,667,,,,939.0,914.0,899.0,21.2,4.5,76.7,73.6,84.7,33.9,34.8,31.7,20.3,22.9,4.8,52.0
Odisha,373,Debagarh,110400,104956,5444,19.9,19.8,21.0,106,,,,956.0,927.0,929.0,15.2,34.5,60.4,59.0,76.3,46.1,47.1,33.1,34.7,43.7,4.1,17.4
Odisha,383,Dhenkanal,162056,156671,5385,18.7,19.2,5.8,268,,,,926.0,877.0,883.0,18.8,13.5,69.4,68.0,84.1,33.4,33.9,28.8,25.8,34.3,3.9,36.0
Odisha,389,Gajapati,313714,308867,4847,19.1,17.9,208.7,134,,,,967.0,967.0,908.0,6.5,56.2,41.3,37.6,71.1,53.1,55.2,34.4,32.7,45.2,2.1,20.0
Odisha,388,Ganjam,118928,112338,6590,30.8,28.7,82.6,430,,,,943.0,908.0,913.0,19.9,3.4,60.8,56.5,79.7,41.3,43.8,29.9,24.7,38.6,3.8,32.9
Odisha,380,Jagatsinghapur,7862,4524,3338,-9.0,-13.2,-2.6,682,,,,928.0,929.0,899.0,22.2,0.5,79.1,78.7,82.2,31.2,30.9,34.4,29.3,25.3,3.4,42.0
Odisha,382,Jajapur,151432,139209,12223,20.2,14.8,156.4,630,,,,937.0,926.0,930.0,23.3,7.8,71.4,71.0,81.7,27.5,27.5,27.5,25.8,30.2,3.1,40.8
Odisha,371,Jharsuguda,176758,140117,36641,8.8,5.8,22.2,274,,,,961.0,943.0,921.0,18.1,40.3,70.6,66.6,77.5,37.3,42.1,28.9,22.2,24.5,8.0,45.3
Odisha,395,Kalahandi,449456,440775,8681,17.5,17.3,28.1,199,,,,985.0,957.0,922.0,17.7,30.4,45.9,43.5,74.4,46.5,47.7,31.1,29.6,50.3,2.9,17.2
Odisha,390,Kandhamal,392820,380602,12218,16.6,15.1,94.8,91,,,,974.0,962.0,899.0,16.6,54.7,52.7,50.1,85.4,47.2,48.5,29.4,33.4,36.1,7.2,23.4
Odisha,379,Kendrapara,9484,8862,622,39.0,46.6,-20.1,545,,,,942.0,926.0,897.0,20.6,0.5,76.8,76.5,82.6,29.8,30.0,27.5,42.0,25.5,2.4,30.1
Odisha,375,Kendujhar,818878,759937,58941,17.8,17.8,17.5,217,,,,962.0,967.0,939.0,11.3,47.8,59.2,56.9,73.7,39.8,41.3,30.3,33.0,36.4,4.5,26.2
Odisha,386,Khordha,115051,67798,47253,18.4,4.4,46.5,800,,,,931.0,916.0,906.0,16.7,6.1,79.6,74.1,86.7,30.6,29.3,32.4,13.8,16.4,2.9,66.9
Odisha,398,Koraput,697583,662719,34864,19.1,19.5,11.5,157,,,,987.0,979.0,944.0,12.9,56.5,35.7,27.3,74.9,48.3,51.5,32.5,32.4,40.2,2.0,25.3
Odisha,399,Malkangiri,354614,346465,8149,22.5,21.8,57.7,106,,,,982.0,992.0,947.0,21.0,60.6,30.5,27.9,65.3,49.1,50.3,33.4,57.3,25.9,2.5,14.2
Odisha,376,Mayurbhanj,1479576,1439002,40574,17.6,16.9,45.6,242,,,,956.0,960.0,905.0,7.5,59.5,51.9,49.5,82.6,46.2,47.4,30.7,28.0,38.4,14.5,19.2
Odisha,397,Nabarangapur,681173,668056,13117,20.7,19.6,116.7,231,,,,1000.0,998.0,971.0,13.6,57.8,33.9,31.3,73.7,49.5,50.5,32.7,30.8,52.3,2.2,14.7
Odisha,385,Nayagarh,58691,57531,1160,15.5,14.2,151.6,248,,,,905.0,855.0,835.0,13.8,6.1,70.5,69.8,85.6,33.3,33.5,28.3,29.8,32.7,7.2,30.3
Odisha,394,Nuapada,206327,204121,2206,12.0,12.2,-2.6,158,,,,969.0,981.0,939.0,13.3,36.3,42.0,40.3,70.4,46.0,46.7,34.5,34.1,46.3,2.9,16.7
Odisha,387,Puri,6129,4379,1750,36.7,7.8,316.7,488,,,,932.0,932.0,926.0,19.6,0.3,78.0,77.3,81.9,30.0,30.0,30.2,35.1,25.0,3.1,36.8
Odisha,396,Rayagada,541905,522208,19697,16.9,16.2,40.7,137,,,,984.0,965.0,950.0,13.9,62.8,36.1,29.9,72.2,48.0,50.6,31.9,29.1,46.1,1.9,22.9
Odisha,372,Sambalpur,355261,318413,36848,11.0,9.5,26.0,157,,,,967.0,940.0,903.0,17.6,43.0,67.3,62.8,79.0,45.0,50.1,31.3,21.7,31.8,13.8,32.7
Odisha,392,Subarnapur,57192,55256,1936,8.0,7.5,23.9,261,,,,968.0,952.0,934.0,23.5,10.2,62.8,61.7,77.3,43.7,44.6,33.0,32.7,44.6,6.8,15.9
Odisha,374,Sundargarh,1062349,908475,153874,15.6,13.9,27.1,216,,,,982.0,946.0,903.0,8.6,66.4,64.9,55.3,82.5,40.4,46.6,28.4,29.6,29.8,2.3,38.3
